호선,역사명,방향,주중주말,평균배차간격_분,최소배차간격_분,최대배차간격_분,표준편차,측정횟수
2,당산,IN,END,5.761780104712042,3.5,17.0,1.3541573312238713,191
2,당산,IN,SAT,5.761780104712042,3.5,17.0,1.3541573312238713,191
2,당산,OUT,DAY,4.736051502145923,2.0,13.0,1.710158753699006,233
2,당산,OUT,END,5.672680412371134,2.0,15.5,1.555477045905765,194
2,당산,OUT,SAT,5.672680412371134,2.0,15.5,1.555477045905765,194
2,대림,IN,DAY,4.684322033898305,2.0,13.0,1.803344400764247,236
2,대림,IN,END,5.689119170984456,2.5,20.0,1.5841782015499317,193
2,대림,IN,SAT,5.689119170984456,2.5,20.0,1.5841782015499317,193
2,대림,OUT,DAY,4.765217391304348,2.0,20.5,1.990503369583946,230
2,대림,OUT,END,5.6020408163265305,2.0,18.5,1.7260584767012244,196
2,대림,OUT,SAT,5.6020408163265305,2.0,18.5,1.7260584767012244,196
2,도림천,DOWN,DAY,10.5,8.0,17.0,1.7066403719657228,104
2,도림천,DOWN,END,10.548076923076923,9.0,18.0,1.7674500731323879,104
2,도림천,DOWN,SAT,10.548076923076923,9.0,18.0,1.7674500731323879,104
2,도림천,UP,DAY,10.533333333333333,8.0,17.0,1.6874347090882944,105
2,도림천,UP,END,10.548076923076923,8.0,16.0,1.7453394678695207,104
2,도림천,UP,SAT,10.548076923076923,8.0,16.0,1.7453394678695207,104
2,동대문역사문화공원,IN,DAY,4.69017094017094,2.0,10.5,1.664818222252303,234
2,동대문역사문화공원,IN,END,5.725130890052356,3.0,14.5,1.0914002877225124,191
2,동대문역사문화공원,IN,SAT,5.725130890052356,3.0,14.5,1.0914002877225124,191
2,동대문역사문화공원,OUT,DAY,4.756465517241379,2.0,13.0,1.7782844762465513,232
2,동대문역사문화공원,OUT,END,5.644329896907217,2.0,11.5,1.3388549025901302,194
2,동대문역사문화공원,OUT,SAT,5.644329896907217,2.0,11.5,1.3388549025901302,194
2,뚝섬,IN,DAY,4.7106382978723405,2.5,10.5,1.685563899474228,235
2,뚝섬,IN,END,5.717277486910994,3.0,15.0,1.066802858256965,191
2,뚝섬,IN,SAT,5.717277486910994,3.0,15.0,1.066802858256965,191
2,뚝섬,OUT,DAY,4.729437229437229,2.0,13.0,1.736863523511158,231
2,뚝섬,OUT,END,5.63659793814433,2.5,11.5,1.2939279369047036,194
2,뚝섬,OUT,SAT,5.63659793814433,2.5,11.5,1.2939279369047036,194
2,문래,IN,DAY,4.7155172413793105,2.0,15.0,1.8348763336733644,232
2,문래,IN,END,5.7591623036649215,3.5,17.0,1.3522329797093446,191
2,문래,IN,SAT,5.7591623036649215,3.5,17.0,1.3522329797093446,191
2,문래,OUT,DAY,4.736051502145923,2.0,13.0,1.710158753699006,233
2,문래,OUT,END,5.672680412371134,2.0,15.5,1.5538106362068276,194
2,문래,OUT,SAT,5.672680412371134,2.0,15.5,1.5538106362068276,194
2,방배,IN,DAY,4.657446808510638,2.0,13.0,1.7512809330163475,235
2,방배,IN,END,5.655440414507772,3.0,16.5,1.3284483186158054,193
2,방배,IN,SAT,5.655440414507772,3.0,16.5,1.3284483186158054,193
2,방배,OUT,DAY,4.710300429184549,2.0,16.5,1.6881882746697934,233
2,방배,OUT,END,5.563775510204081,2.0,16.5,1.3977138956028434,196
2,방배,OUT,SAT,5.563775510204081,2.0,16.5,1.3977138956028434,196
2,봉천,IN,DAY,4.648936170212766,2.0,11.0,1.7150505637092124,235
2,봉천,IN,END,5.689119170984456,3.0,19.5,1.5726290856182976,193
2,봉천,IN,SAT,5.689119170984456,3.0,19.5,1.5726290856182976,193
2,봉천,OUT,DAY,4.771551724137931,2.0,20.5,1.9803058941846505,232
2,봉천,OUT,END,5.599489795918367,2.0,18.5,1.6630369947927164,196
2,봉천,OUT,SAT,5.599489795918367,2.0,18.5,1.6630369947927164,196
2,사당,IN,DAY,4.684322033898305,2.0,13.0,1.795659058201104,236
2,사당,IN,END,5.652849740932642,3.0,16.0,1.3144646657529266,193
2,사당,IN,SAT,5.652849740932642,3.0,16.0,1.3144646657529266,193
2,사당,OUT,DAY,4.702586206896552,2.0,16.5,1.687717852894185,232
2,사당,OUT,END,5.566326530612245,2.0,17.0,1.4422876328624266,196
2,사당,OUT,SAT,5.566326530612245,2.0,17.0,1.4422876328624266,196
2,삼성,IN,DAY,4.64957264957265,2.0,13.5,1.7551456626942663,234
2,삼성,IN,END,5.596354166666667,2.5,12.5,1.109142038871003,192
2,삼성,IN,SAT,5.596354166666667,2.5,12.5,1.109142038871003,192
2,삼성,OUT,DAY,4.669527896995708,2.0,10.0,1.5093867904068228,233
